技能名称,来源,主方向,子域,角色,建议动作,具体建议,发布状态,能力概述（上游/项目原文节选）,流程结构（标题/步骤节选）,相互提及候选（非硬依赖）,相对资源引用,静态风险关键词（不代表已执行）,SKILL行数,依据
researchwrite,Nature,A 研究规划与设计,项目申请与研究计划,任务编排/专用合同,归并入口，保留类型模板,归入项目申请/研究计划，与 grants 共用导航；保留原 SDK 名，不能按目录名重命名。,分发,"Compose, revise, or audit research proposals, opening reports, and research plans from supporting evidence. Use for 研究计划、开题报告、科研项目申请书. Invoked as researchwrite for compatibility; use nature-writing for general manuscript sections.",1. **证据先于文字** — 起草前必须建立或读取 `research_canon` 和 `evidence_table` → 2. **论证先于章节** — 写正文前必须完成 `argument_map` → 3. **契约先于段落** — 每节需要 purpose / allowed claims / forbidden claims / inputs / validation → 4. **范围先于完备** — 如果是分阶段写作，先锁定阶段边界 → 5. **动态专家，不设固定池** — 用 `professor` 按失败模式召唤对应专家 → 6. **内容先于语言** — 诊断科学逻辑后再做 anti-slop / 语言打磨,docx,,,151,https://github.com/Yuan1z0825/nature-skills/blob/2375e0abdf42158ef149256f2c64b1f759a0d274/skills/nature-proposal-writer/SKILL.md
research-grants,Scientific,A 研究规划与设计,项目申请与研究计划,任务编排/专用合同,保留机构模板,与 researchwrite 共享申请入口，但保留各资助机构规则与版本核验。,分发,"Write competitive research proposals for NSF, NIH, DOE, DARPA, and Taiwan NSTC. Agency-specific formatting, review criteria, budget preparation, broader impacts, significance statements, innovation narratives, and compliance with submission requirements.","1. **Failing to Address Review Criteria**: Not explicitly discussing significance, innovation, approach, etc. → 2. **Mismatch with Agency Mission**: Proposing research that doesn't align with agency goals → 3. **Unclear Significance**: Failing to articulate why the research matters → 4. **Insufficient Innovation**: Incremental work presented as transformative → 5. **Vague Objectives**: Goals that are not specific or measurable → 1. **Poor Organization**: Lack of clear structure and flow","scientific-schematics, matplotlib",references/core_components.md; references/review_criteria.md; references/writing_principles.md; references/proposal_types_and_resubmission.md,"API_KEY, upload, clinical",313,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/research-grants/SKILL.md
bioservices,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Unified Python interface to 40+ bioinformatics services. Use when querying multiple databases (UniProt, KEGG, ChEMBL, Reactome) in a single workflow with consistent API. Best for cross-database analysis, ID mapping across services. For quick single-database lookups use gget; for sequence/file manipulation use biopython.",1. Search compound by name in KEGG → 2. Extract KEGG compound ID → 3. Use UniChem for KEGG → ChEMBL mapping → 4. ChEBI IDs are often provided in KEGG entries → 1. UniProt search for protein entry → 2. FASTA sequence retrieval,,,"pip install, uv pip, credentials",415,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/bioservices/SKILL.md
database-lookup,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Query documented public database APIs with explicit endpoints, filters, pagination, and provenance. Use when a scientific, regulatory, financial, or other database-backed fact must be retrieved reproducibly from a named source rather than inferred from general knowledge.","1. **Define the retrieval contract** — Identify the target entity, accepted identifiers, organism/taxon/build/date constraints, filters, expected output fields, and whether the user needs an exhaustive dataset or a targeted lookup. If a required scientific constraint is missing and affects correctness, ask a clarifying question rather than guessing. → 2. **Select authoritative database(s)** — Use the database selection guide below. Prefer the primary database for the user's intent, then add cross-check databases only for identifier resolution, validation, or known coverage gaps. Do not fan out across many APIs just because they are available. → 3. **Read the reference file and retrieval contract** — Each database has a reference file in `references/` with endpoint details, query formats, and example calls. Read the relevant file(s) and `references/retrieval-contract.md` before making API calls. → 4. **Plan filter semantics before calling** — Separate filters the API enforces server-side from filters that must be checked locally. Note identifier conversions, fields with ambiguous meanings, pagination strategy, rate limits, and any data-source conventions such as RefSeq vs GenBank or",,references/database_selection_guide.md,"API_KEY, clinical, parallel",405,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/database-lookup/SKILL.md
depmap,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Query the Cancer Dependency Map (DepMap) for cancer cell line gene dependency scores (CRISPR Chronos), drug sensitivity data, and gene effect profiles. Use for identifying cancer-specific vulnerabilities, synthetic lethal interactions, and validating oncology drug targets.","1. Download `CRISPRGeneEffect.csv` and `sample_info.csv` → 2. Filter cell lines by cancer type → 3. Compute mean gene effect for target gene in cancer vs. all others → 4. Calculate selectivity: how specific is the dependency to your cancer type? → 5. Cross-reference with mutation, expression, or CNA data as biomarkers → 1. Identify cell lines with mutation/deletion in gene of interest (e.g., BRCA1-mutant)",,,delete,301,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/depmap/SKILL.md
folklore-variant-evidence,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Retrieve ClinGen gene-disease validity assertions for a public gene or disease, and review source-linked public evidence and literature for one supported GRCh38 germline nuclear SNV or simple indel through Folklore Clinical Variant Interpretation MCP. Use when a scientific agent must branch deterministically on resolved, ambiguous, not-found, invalid, unsupported, or unavailable variant outcomes; chain a resolved public variant into related literature or publication details; or preserve evidence","1. Extract exactly one public variant identifier or notation. → 2. Require GRCh38 and a germline nuclear SNV or simple indel. → 3. Remove or refuse patient names, case identifiers, phenotypes, family history, → 4. If the task depends on patient context, stop and explain that Folklore → 5. Never transform a patient-specific request into a public variant query while → 1. The exact public query and `GRCh38` assembly.","database-lookup, genomic-coordinates",references/mcp-contract.md,"upload, patient, clinical, credentials",222,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/folklore-variant-evidence/SKILL.md
gget,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Fast CLI/Python queries to 20+ bioinformatics databases. Use for quick lookups: gene info, BLAST/BLAT, viral sequence downloads, AlphaFold structures, enrichment analysis, OpenTargets, COSMIC, CELLxGENE, and 8cube mouse specificity/expression data. Best for interactive exploration and simple queries. For batch processing or advanced BLAST use biopython; for multi-database Python workflows use bioservices.",gget → Overview → Installation → Quick Start → Module Categories → Common Workflows → Best Practices → Data Retrieval,,references/module_catalog.md; references/module_reference.md; references/common_workflows.md; references/workflows.md,"pip install, uv pip, credentials",170,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/gget/SKILL.md
imaging-data-commons,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Query and download public cancer imaging data from NCI Imaging Data Commons. Invoke for any question about IDC collections, cancer imaging datasets, DICOM data access, radiology (CT, MR, PET) or pathology AI training sets, metadata queries, visualization, or license checks — even when the user doesn't explicitly mention ""IDC"". No authentication required.","1. **Session already has the IDC MCP server?** Route discovery and metadata there — see *IDC → 2. **Otherwise, is `idc-index` installed?** Run `python scripts/check_version.py`. If it passes, → 3. **Not installed, and the task is read-only metadata** — counts, attribute values, collection → 4. **Not installed, and the task needs more than metadata** — downloading files, pandas or",pydicom,,"patient, clinical, credentials",496,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/imaging-data-commons/SKILL.md
ncats-arax,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Queries the NCATS Translator ARAX production API for bounded, typed, provenance-rich one-hop and endpoint-pinned two-hop biomedical knowledge-graph relationships. Use for Biolink-constrained RTX-KG2 lookup, explicit selected-provider ARAX federation, separate entity normalization, qualifier-aware graph traversal, and inspection of TRAPI edge bindings, publications, and knowledge-source provenance. Do not use for inference, ranking, open-ended pathfinding, clinical guidance, or sensitive queries.","1. Normalize free text separately, then review and report the proposed CURIE and category. → 2. Choose a typed one-hop query or an exactly two-hop query with both endpoints pinned. → 3. Use default RTX-KG2 lookup unless the user explicitly names two to five providers. → 4. Acknowledge that the biomedical query is public and choose a new or empty output directory. → 5. Run the client once. Do not silently change provider selection or expansion order after a → 6. Inspect `summary.json` for bounded bindings and provenance and `response.json` for the exact",,references/query-contract.md; references/output-schema.md,"patient, clinical",178,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/ncats-arax/SKILL.md
onekgpd,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Query the 1000 Genomes Project dataset (3,202 whole-genome-sequenced individuals, GRCh38) at the level of individual participants. Use when a question is about individuals or variants in the 1000 Genomes Project cohort: which individuals carry variants matching specific criteria in a gene or region, which individuals are homozygous-reference at a position, which variants exist in the dataset or carried by specified individuals in a gene or region, the relatedness between two specified individual","1.  **`uv`**: This skill's script is run with `uv run`, which reads the script's → 2.  **Data use terms**: The 1000 Genomes Project data is open; users should be → 3.  **Access constraints**: There is no API key, no `.env` file, and no → 4.  **No credentials required**",,references/onekgpd_commands.md; references/annotation_vocabularies.md,"clinical, credentials",371,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/onekgpd/SKILL.md
ontology-term-resolution,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Resolve free-text scientific labels to ontology term IDs and validate existing CURIEs against the EBI Ontology Lookup Service (OLS4). Also look up prefixes in Bioregistry, resolve compact identifiers via Identifiers.org, map lab shorthand with ZOOMA, and build Ontobee term pages. Use whenever an ontology identifier must be produced or checked - annotating tissue, cell type, disease, phenotype, assay, chemical, organism, sex, or developmental stage fields; preparing metadata for GEO, ENA, BioSamp",Ontology Term Resolution → When to use → The rule → Which service → Resolve text to terms → Validate existing IDs → Check a prefix or compact identifier → Map lab shorthand (ZOOMA),,,,208,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/ontology-term-resolution/SKILL.md
pathogen-variant-surveillance,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Query live pathogen genomic surveillance data through the GenSpectrum LAPIS API to find which viral lineages are circulating now, how fast they are growing, and what mutations they carry. Use whenever a question depends on the current state of a pathogen population rather than on remembered facts - which SARS-CoV-2 variant is dominant, whether a Pango lineage is still designated or has been withdrawn, what clade or genotype of H5N1 is in a host or region, whether a PCR primer or assay target sti","1. **Names post-date training.** The Pango designation list carries over 6,200 names and grows → 2. **The nomenclature is a live data structure, not a convention.** `XFG` is a recombinant that → 3. **Prior knowledge gets retracted, not just outdated.** 294 names in the current",,,clinical,225,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pathogen-variant-surveillance/SKILL.md
primekg,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Query the Precision Medicine Knowledge Graph (PrimeKG) for multiscale biological data including genes, drugs, diseases, phenotypes, and more.","1. **Use specific IDs:** When using `get_neighbors`, ensure you have the correct ID from `search_nodes`. → 2. **Context first:** Use `get_disease_context` for a broad overview before diving into specific genes or drugs. → 3. **Filter relationships:** Use the `relation_type` filter in `get_neighbors` to focus on specific evidence (e.g., only `drug_protein`). → 4. **Multiscale integration:** Combine with `OpenTargets` for deeper genetic evidence or `Semantic Scholar` for the latest literature context.",,,clinical,116,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/primekg/SKILL.md
usfiscaldata,Scientific,B 文献证据与知识管理,专业数据库与标识,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Query the U.S. Treasury Fiscal Data REST API for federal financial data. No API key required. Use for national debt (Debt to the Penny), Daily Treasury Statements, Monthly Treasury Statements, Treasury securities auctions, interest rates, foreign exchange rates, savings bonds, or U.S. government revenue and spending statistics.",U.S. Treasury Fiscal Data API → Installation → Quick Start → Authentication → Core Parameters → Key Datasets & Endpoints → Debt → Daily & Monthly Statements,,references/datasets-fiscal.md; references/parameters.md; references/api-basics.md; references/datasets-debt.md; references/datasets-interest-rates.md; references/datasets-securities.md; references/response-format.md; references/examples.md,"pip install, uv pip",188,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/usfiscaldata/SKILL.md
nature-citation,Nature,B 文献证据与知识管理,引文与论据核验,任务编排/专用合同,保留期刊限定分支,仅要求 Nature/CNS 范围时使用；一般检索不得被悄悄限制到这些期刊。,分发,"Find and verify Nature/CNS-family literature supporting manuscript claims, with claim-to-source mapping and reference-manager export. Use for Nature系列引用、CNS支撑文献、分段补引用 when this journal scope is requested; use broader literature search for unrestricted sources.",Nature Citation — Router → Routing protocol → 1. Load the manifest and the core layer → 2. No content axis — confirm scope and language inline → 3. Run the workflow → 4. Reach for references only when needed,,manifest.yaml,,44,https://github.com/Yuan1z0825/nature-skills/blob/2375e0abdf42158ef149256f2c64b1f759a0d274/skills/nature-citation/SKILL.md
nature-ref-verifier,Nature,B 文献证据与知识管理,引文与论据核验,任务编排/专用合同,归并入口，保留字段核验,和 citation-management 共用引文入口；字段/DOI正确不代表论据支持正确。,分发,对学术文献逐条执行多源交叉验证，逐字段对比作者、标题、年份、卷期、页码， 标记卷年/DOI年冲突、作者顺序异常、页码偏差等问题，输出结构化验证报告。 可批量处理整篇论文/开题报告的参考文献列表，也可单条校验，支持与 Zotero 同步修正。,"### Step 1: 解析输入 → ### Step 2: 多源并行查询 → **Step 2.0（最便宜、最先做）：DOI 可解析性检查。** 对每条有 DOI 的文献先请求 `https://api.crossref.org/works/<DOI>`：404 → DOI 本身错误（高度疑似错号）；200 → 比对返回记录的标题/作者/卷期页与条目，不一致即""DOI 张冠李戴""。单次请求即可发现实践中最常见的一类错误（一次 35 条核查中 7/9 的错误属于此类）。 → ### Step 3: 字段级对比 → ### Step 4: 置信度评估 → ### Step 5: 输出报告",pyzotero,,,196,https://github.com/Yuan1z0825/nature-skills/blob/2375e0abdf42158ef149256f2c64b1f759a0d274/skills/nature-ref-verifier/SKILL.md
citation-management,Scientific,B 文献证据与知识管理,引文与论据核验,任务编排/专用合同,归并重复编排,共用引文解析/核验/导出流程，保留 BibTeX 等格式操作及来源差异。,分发,"Comprehensive citation management for academic research. Search OpenAlex, PubMed, and Google Scholar for papers, extract accurate metadata, validate citations, and generate properly formatted BibTeX entries. This skill should be used when you need to find papers, verify citation information, convert DOIs to BibTeX, or ensure reference accuracy in scientific writing.",### Phase 1: Paper Discovery and Search → ### Phase 2: Metadata Extraction → ### Phase 2.5: Metadata Enrichment via Web Search (MANDATORY) → ### Phase 3: BibTeX Formatting → ### Phase 4: Citation Validation → ### Phase 5: Integration with Writing Workflow,"literature-review, scientific-schematics, parallel-web, pyzotero",references/core_workflow.md; references/search_strategies.md; references/bibtex_formatting.md; references/citation_validation.md; references/example_workflows.md; references/script_reference.md; references/best_practices.md; references/google_scholar_search.md; references/pubmed_search.md; references/metadata_extraction.md,"API_KEY, pip install, uv pip, parallel, credentials",346,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/citation-management/SKILL.md
